190 《爱在午夜降临前》 (2013)  8.8分  评价数:262123  短评:所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
191 《疯狂的石头》 (2006)  8.5分  评价数:623671  短评:中国版《两杆大烟枪》。
192 《恐怖游轮》 (2009)  8.5分  评价数:616270  短评:不要企图在重复中寻找已经失去的爱。
193 《奇迹男孩》 (2017)  8.6分  评价数:447680  短评:世界不完美，爱会有奇迹。
194 《二十二》 (2015)  8.7分  评价数:229590  短评:有一些东西不应该被遗忘。
195 《海边的曼彻斯特》 (2016)  8.6分  评价数:377053  短评:我们都有权利不与自己的过去和解。
196 《雨中曲》 (1952)  9.0分  评价数:160534  短评:骨灰级歌舞片。
197 《魔女宅急便》 (1989)  8.6分  评价数:358991  短评:宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
198 《房间》 (2015)  8.8分  评价数:308040  短评:被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
199 《虎口脱险》 (1966)  8.9分  评价数:184141  短评:永远看不腻的喜剧。
200 《人工智能》 (2001)  8.7分  评价数:341849  短评:对爱的执着，可以超越一切。
201 《哈利·波特与火焰杯》 (2005)  8.6分  评价数:415588  短评:
202 《罗生门》 (1950)  8.8分  评价数:237251  短评:人生的N种可能性。
203 《可可西里》 (2004)  8.8分  评价数:229525  短评:坚硬的信仰。
204 《终结者2：审判日》 (1991)  8.7分  评价数:272611  短评:少见的超越首部的续集，动作片中的经典。
205 《2001太空漫游》 (1968)  8.8分  评价数:223887  短评:现代科幻电影的开山之作，最伟大导演的最伟大影片。
206 《初恋这件小事》 (2010)  8.4分  评价数:809206  短评:黑小鸭速效美白记。
207 《城市之光》 (1931)  9.3分  评价数:101468  短评:永远的小人物，伟大的卓别林。
208 《色，戒》 (2007)  8.5分  评价数:538015  短评:假戏真情，爱欲深海
209 《九品芝麻官》 (1994)  8.5分  评价数:446239  短评:
210 《魂断蓝桥》 (1940)  8.8分  评价数:216058  短评:中国式内在的美国电影。
211 《寄生虫》 (2019)  8.7分  评价数:1056464  短评:
212 《牯岭街少年杀人事件》 (1991)  8.8分  评价数:201303  短评:弱者送给弱者的一刀。
213 《遗愿清单》 (2007)  8.7分  评价数:302269  短评:用剩余不多的时间，去燃烧整个生命。
214 《海洋》 (2009)  9.1分  评价数:135499  短评:大海啊，不全是水。
215 《新龙门客栈》 (1992)  8.6分  评价数:343632  短评:嬉笑怒骂，调风动月。
216 《燃情岁月》 (1994)  8.8分  评价数:229285  短评:传奇，不是每个人都可以拥有。
217 《大佛普拉斯》 (2017)  8.7分  评价数:308171  短评:人们可以登上月球，却永远无法探索人们内心的宇宙。
218 《源代码》 (2011)  8.5分  评价数:645252  短评:邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
219 《青蛇》 (1993)  8.6分  评价数:399359  短评:人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
220 《无耻混蛋》 (2009)  8.6分  评价数:374752  短评:昆汀同学越来越变态了，比北野武还杜琪峰。
221 《穿越时空的少女》 (2006)  8.6分  评价数:312686  短评:爱上未来的你。 
222 《波西米亚狂想曲》 (2018)  8.7分  评价数:447662  短评:
223 《血钻》 (2006)  8.7分  评价数:280798  短评:每个美丽事物背后都是滴血的现实。
224 《疯狂的麦克斯4：狂暴之路》 (2015)  8.6分  评价数:402516  短评:“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
225 《阿飞正传》 (1990)  8.5分  评价数:387116  短评:王家卫是一种风格，张国荣是一个代表。
226 《步履不停》 (2008)  8.8分  评价数:202504  短评:日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
227 《谍影重重2》 (2004)  8.7分  评价数:279507  短评:谁说王家卫镜头很晃？
228 《完美陌生人》 (2016)  8.5分  评价数:429567  短评:来啊，互相伤害啊！
229 《地球上的星星》 (2007)  8.9分  评价数:162793  短评:天使保护事件始末。
230 《战争之王》 (2005)  8.7分  评价数:277895  短评:做一颗让别人需要你的棋子。
231 《彗星来的那一夜》 (2013)  8.5分  评价数:399345  短评:小成本大魅力。
232 《香水》 (2006)  8.5分  评价数:446036  短评:一个单凭体香达到高潮的男人。
233 《谍影重重》 (2002)  8.6分  评价数:333860  短评:哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
234 《朗读者》 (2008)  8.6分  评价数:385340  短评:当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
235 《东京物语》 (1953)  9.2分  评价数:101164  短评:东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
236 《猜火车》 (1996)  8.5分  评价数:352317  短评:不可猜的青春迷笛。 
237 《再次出发之纽约遇见你》 (2013)  8.6分  评价数:330231  短评:爱我就给我看你的播放列表。
238 《千钧一发》 (1997)  8.8分  评价数:197858  短评:一部能引人思考的科幻励志片。
239 《浪潮》 (2008)  8.7分  评价数:216418  短评:世界离独裁只有五天。
240 《驴得水》 (2016)  8.3分  评价数:719056  短评:过去的如果就让它过去了，未来只会越来越糟！
241 《聚焦》 (2015)  8.8分  评价数:223244  短评:新闻人的理性求真。
242 《小萝莉的猴神大叔》 (2015)  8.4分  评价数:387991  短评:宝莱坞的萝莉与大叔。
243 《黑客帝国2：重装上阵》 (2003)  8.6分  评价数:288069  短评:一个精彩的世界观正在缓缓建立。
244 《我爱你》 (2011)  9.0分  评价数:122789  短评:你要相信，这世上真的有爱存在，不管在什么年纪 
245 《追随》 (1998)  8.9分  评价数:144218  短评:诺兰的牛逼来源于内心散发出的恐惧。
246 《无间道2》 (2003)  8.6分  评价数:310186  短评:
247 《东京教父》 (2003)  9.0分  评价数:127528  短评:
248 《黑鹰坠落》 (2001)  8.7分  评价数:229513  短评:还原真实而残酷的战争。
249 《一次别离》 (2011)  8.7分  评价数:209209  短评:只有有信仰的人才能说出事实真相。
250 《网络谜踪》 (2018)  8.6分  评价数:411542  短评:
